phrase,predicted_label,confidence,source_file,human_label
Industrial Electrical Layouts,Skill,,cv_09.txt,
Motor Control Systems And Applications,Skill,,cv_11.txt,
Quotation Preparation And Sales Coordination,Skill,0.6452685653080212,cv_07.txt,
Project Coordination And Documentation,Skill,0.6833299490797389,cv_01.txt,
Renewable Energy System Design Support,Skill,0.5400609949956846,cv_04.txt,
Basic Erp / Procurement Systems,Skill,0.5888335809031272,cv_01.txt,
Electrical Installation And Wiring Standards,Skill,0.758774059245691,cv_07.txt,
"Technical Associate
Engineering",Skill,0.6009546065565414,cv_06.txt,
Basic Engineering Calculation Tools,Skill,,cv_07.txt,
Industrial Service Engineering And Maintenance Support,Skill,0.6111358495843574,cv_11.txt,
Proposal Engineering And Bid Preparation,Skill,0.5967551238146921,cv_10.txt,
SmartPlant3D,Skill,0.5103419829460544,cv_04.txt,
Procedures,Skill,0.5650897288646782,cv_08_expected.txt,
Construction Projects,Not Skill,,cv_09.txt,
AGI32,Skill,0.5103419829460544,cv_09.txt,
Mid-Level,Skill,0.5103419829460544,cv_03.txt,
Autocad 2017,Skill,,cv_03.txt,
Microsoft Word,Skill,,cv_01.txt,
Electrical Bid Pricing And Costing Structures,Skill,,cv_10.txt,
Vendor And Contractor Documentation Systems,Skill,,cv_08.txt,
Engineering Services,Not Skill,,cv_09.txt,
Technical Documentation,Skill,,cv_09.txt,
Electrical Installation And Commissioning,Skill,,cv_07.txt,
Hazardous Area Equipment,Skill,,cv_09.txt,
Technical Sales Support And Negotiation,Skill,,cv_03.txt,
Aaron Joseph Garcia,Skill,0.5103419829460544,cv_01.txt,
Vendor And Contractor Documentation Coordination,Skill,,cv_08.txt,
Client Negotiation And Account Management,Skill,,cv_03.txt,
Client And Contractor Technical Coordination,Skill,,cv_05.txt,
Architectural Drafting,Skill,,cv_09.txt,
Inside Sales Engineering For Electrical Construction Projects,Skill,0.51089628790283,cv_05.txt,
Smarts Sketch,Skill,0.5103419829460544,cv_04.txt,
Bid Preparation And Proposal Support,Skill,,cv_05.txt,
"Senior Design Engineer
Engineering",Skill,0.777488968297601,cv_02.txt,
"Electrical Design Engineering
PRODUCT",Skill,0.644920311803761,cv_04.txt,
"Industrial
Renewable Energy",Skill,0.5500039280040588,cv_04.txt,
Autocad 21,Skill,0.5927735115503974,cv_02.txt,
3D Drawings And Modeling,Skill,,cv_09.txt,
Service Engineering And Field Support,Skill,0.6049790610148037,cv_11.txt,
Microsoft Office,Skill,,cv_09.txt,
"Hazardous Area Lighting Layout
Electrical Product",Skill,0.5643335131999152,cv_02.txt,
Inside Sales / Ups,Skill,0.5184799616824052,cv_07.txt,
Electrical Switchgear And Protection Devices,Skill,,cv_10.txt,
Lighting Design And Calculation,Skill,0.525734703700782,cv_04.txt,
Electrical Technical Sales Engineering,Skill,0.7017239853511786,cv_11.txt,
"NC II 
TESDA 
Validity 
Trainovate",Skill,0.5103419829460544,cv_07.txt,
Customer Requirement Handling,Skill,0.6057188139527775,cv_01.txt,
Project Documentation Management,Skill,,cv_08.txt,
Technical Quotation And Costing Support,Skill,0.6459700991026415,cv_01.txt,
Sales,Skill,0.5672045584034784,cv_03_expected.txt,
Technical Sales And Engineering Support,Skill,,cv_03.txt,
Quality Control And Quality Assurance Coordination,Skill,,cv_05.txt,
Junction Boxes,Skill,0.5103419829460544,cv_09.txt,
Ups Maintenance And Troubleshooting,Skill,0.6368369497766364,cv_07.txt,
Electrical Construction Project Sales Support,Skill,,cv_05.txt,
Client Requirements Analysis And Solution Design,Skill,0.6561549874383064,cv_11.txt,
Monitoring,Skill,0.5389508938068855,cv_01_expected.txt,
Client Technical Solutions And Lifecycle Support,Skill,0.7080863621340417,cv_11.txt,
Basic Engineering Drawing Interpretation,Skill,,cv_03.txt,
Electrical Layout Fundamentals,Skill,0.7243988799145087,cv_06.txt,
Microcadd Institute Inc.,Skill,0.5103419829460544,cv_09.txt,
Client Technical Coordination And Support,Skill,0.7319800912871621,cv_10.txt,
"Technical Sales, Quotation & Project Coordination",Skill,0.6551311417336114,cv_01.txt,
2D Drawings And Design Development,Skill,,cv_09.txt,
Electrical Enclosures,Skill,0.7915058730754815,cv_02.txt,
Technical Quotation And Proposal Preparation,Skill,0.6122290877290457,cv_01.txt,
Service Reporting And Documentation System,Skill,0.6153221878697391,cv_07.txt,
Project Lifecycle Documentation Flow,Skill,,cv_08.txt,
Project Lifecycle And After-Sales Support,Skill,,cv_11.txt,
Inside Sales And Technical Support,Skill,0.5315246590090854,cv_01.txt,
Commissioning,Skill,0.5377068020209468,cv_07_expected.txt,
"Ups Installation, Commissioning And Testing",Skill,,cv_07.txt,
Lighting Calculation Assistance,Skill,0.6085914519057534,cv_06.txt,
Issuing Body,Skill,0.5103419829460544,cv_05.txt,
Client Relationship And Stakeholder Management,Skill,0.7040031906355103,cv_05.txt,
Application Engineering For Power Systems,Skill,0.7330191346988646,cv_11.txt,
Engineering Drawing Standards And Documentation,Skill,0.5691106173034483,cv_04.txt,
Technical Tendering,Skill,,cv_05_expected.txt,
Supplier Coordination And Procurement Assistance,Skill,0.6044765021145984,cv_01.txt,
Technical Sale And Client Solutions Engineering,Skill,,cv_11.txt,
Service Teams,Skill,,cv_11_expected.txt,
Ups Service Support And After-Sales Assistance,Skill,,cv_03.txt,
"Validity 
REGISTERED ELECTRICAL ENGINEER",Skill,0.5675913885783567,cv_09.txt,
Industrial Electrical Equipment Configuration,Skill,,cv_10.txt,
Compliance With Document Standards And Procedures,Skill,,cv_08.txt,
"Client Requirements 
Basic Engineering",Skill,0.5949515737356219,cv_03_expected.txt,
Electrical Drawings,Skill,0.7063397806228934,cv_02_expected.txt,
Operations And Maintenance Advisory,Skill,0.6150477083190755,cv_11.txt,
Hazardous Area Environments,Skill,0.5829502479421553,cv_09.txt,
Relux Lightning Software,Skill,0.5129333808476397,cv_04.txt,
Engineering And Project Documentation Handling,Skill,,cv_08.txt,
Technical Tendering And Bid Coordination,Skill,0.7087774314435211,cv_05.txt,
Engineering Documentation And Records Control,Skill,0.6006114147149159,cv_08.txt,
Crm Tools Client Management Systems,Skill,0.8133960067652894,cv_03.txt,
Electrical System Basic Technical Review,Skill,,cv_05_expected.txt,
Sales Engineering,Skill,,cv_01_expected.txt,
Email And Crm Communication Tools,Skill,0.5476379811071035,cv_01.txt,
Manufacturing Process Control,Skill,,cv_03.txt,
Sales And Client Relationship Management,Skill,0.6540419522759419,cv_03.txt,
"Operational Efficiency 
Technical Documentation",Skill,0.5445941900339257,cv_03_expected.txt,
Testing,Skill,0.5103419829460544,cv_07_expected.txt,
Electrical Drafting,Skill,0.7419140211198727,cv_06_expected.txt,
Basic,Skill,0.5834024533227097,cv_06_expected.txt,
Drafting Assistance For Engineering Projects,Skill,0.518809638167863,cv_06.txt,
Industrial Electrical System Troubleshooting,Skill,0.7368122852790302,cv_11.txt,
Compliance And Document Standardization,Skill,,cv_08.txt,
Lighting Design And Simulation,Skill,0.5148778333469511,cv_04.txt,
Power Distribution And Wiring Systems,Skill,,cv_05.txt,
Explosion-Proof Lighting Systems,Skill,,cv_09.txt,
Sales Engineering & Proposal Development,Skill,0.5629335021292368,cv_10.txt,
Microsoft Powerpoint,Skill,,cv_01.txt,
Toms Manufacturing Corporation,Skill,0.5980964193453787,cv_03.txt,
Autocad 3D,Skill,,cv_06.txt,
Sales Coordination And Technical Tendering,Skill,,cv_05.txt,
Electrical Quotation And Proposal Preparation,Skill,0.6951509760991843,cv_01.txt,
"Electrical Engineer 
PRC",Skill,0.5675913885783567,cv_01.txt,
Industrial Proposal And Tender Engineering,Skill,0.532155714421753,cv_10.txt,
AREAS,Skill,0.5616279790948195,cv_04.txt,
Revit,Skill,0.5103419829460544,cv_04.txt,
Engineering Coordination Across Sales And Service Teams,Skill,,cv_11.txt,
Product Drawings And Technical Documentation,Skill,,cv_02.txt,
Version Control And Revision Management,Skill,,cv_08.txt,
Basic Project Coordination Support,Skill,,cv_08.txt,
Electrical Cost Estimation And Proposal Preparation,Skill,,cv_10.txt,
Maria Angela Santos,Skill,0.5103419829460544,cv_08.txt,
Value Engineering And Cost Optimization,Skill,,cv_10.txt,
Engineering Support,Skill,,cv_05.txt,
Bid Preparation,Skill,,cv_05_expected.txt,
Document Management Systems,Skill,,cv_08.txt,
Microsoft Office Suite,Skill,0.6631652317661805,cv_04.txt,
Project Controls & Documentation Management,Skill,0.503810510342759,cv_08.txt,
"DIALux
Eaton GEIS Group",Skill,0.5816983438800607,cv_02.txt,
Entry-Level,Skill,0.5103419829460544,cv_06.txt,
Quality Management System Implementation Support,Skill,0.6289198875870592,cv_03.txt,
Logistics And Supply Chain Coordination,Skill,0.590665706528572,cv_01.txt,
Tendering And Procurement Processes,Skill,0.5343091927038235,cv_05.txt,
Electrical Drawings Using Autocad 2D,Skill,,cv_02.txt,
Electrical Construction Project Management Support,Skill,,cv_05.txt,
Engineering Document Control,Skill,,cv_08.txt,
"Sales Engineer  
Project Coordination Assistance",Skill,0.6794889466000475,cv_01.txt,
Technical Specifications Review,Skill,,cv_09.txt,
Product Knowledge And Application Engineering,Skill,,cv_07.txt,
Maintenance Management System,Skill,0.6861220898190924,cv_11.txt,
Power And Distribution Transformers,Skill,0.5591637232319249,cv_10.txt,
Administrative Support For Industrial Projects,Skill,,cv_08.txt,
Only I,Skill,0.5103419829460544,cv_04.txt,
Technical Specification Interpretation And Compliance,Skill,0.5741861234025193,cv_10.txt,
Vendor And Contractor Document Tracking,Skill,,cv_08.txt,
Technical Sales,Skill,,cv_01.txt,
"Electrical 
Installations",Skill,0.7354125313870699,cv_01.txt,
